team_name,city,season_year,games_played,wins,win_pct,avg_goals_for,avg_shots
Lightning,Tampa Bay,2010,100,57,57.0,3.0,31.27
Lightning,Tampa Bay,2011,82,38,46.3,2.83,27.16
Lightning,Tampa Bay,2012,48,18,37.5,3.06,27.56
Lightning,Tampa Bay,2013,86,46,53.5,2.81,29.66
Lightning,Tampa Bay,2014,108,64,59.3,3.0,29.25
Lightning,Tampa Bay,2015,99,57,57.6,2.75,29.06
Lightning,Tampa Bay,2016,82,42,51.2,2.8,29.93
Lightning,Tampa Bay,2017,99,65,65.7,3.43,32.09
Lightning,Tampa Bay,2018,344,248,72.1,3.8,31.83
Lightning,Tampa Bay,2019,380,244,64.2,3.37,32.16
Maple Leafs,Toronto,2000,71,37,52.1,2.85,27.82
Maple Leafs,Toronto,2001,72,43,59.7,3.15,28.11
Maple Leafs,Toronto,2002,75,44,58.7,2.89,26.07
Maple Leafs,Toronto,2003,72,45,62.5,3.0,27.18
Maple Leafs,Toronto,2005,82,41,50.0,3.1,28.33
Maple Leafs,Toronto,2006,82,40,48.8,3.1,32.7
Maple Leafs,Toronto,2007,82,36,43.9,2.78,31.0
Maple Leafs,Toronto,2008,82,34,41.5,2.98,31.74
Maple Leafs,Toronto,2009,82,30,36.6,2.56,32.57
Maple Leafs,Toronto,2010,82,37,45.1,2.6,28.78
Maple Leafs,Toronto,2011,82,35,42.7,2.77,28.32
Maple Leafs,Toronto,2012,55,29,52.7,2.96,27.24
Maple Leafs,Toronto,2013,82,38,46.3,2.71,27.95
Maple Leafs,Toronto,2014,82,30,36.6,2.51,29.23
Maple Leafs,Toronto,2015,82,29,35.4,2.34,30.67
Maple Leafs,Toronto,2016,88,42,47.7,3.02,32.16
Maple Leafs,Toronto,2017,89,52,58.4,3.26,31.9
Maple Leafs,Toronto,2018,356,196,55.1,3.4,33.26
Maple Leafs,Toronto,2019,300,152,50.7,3.29,33.21
Oilers,Edmonton,2000,70,39,55.7,3.1,25.77
Oilers,Edmonton,2001,70,38,54.3,2.61,27.6
Oilers,Edmonton,2002,71,36,50.7,2.79,27.55
Oilers,Edmonton,2003,70,36,51.4,2.77,27.47
Oilers,Edmonton,2005,82,41,50.0,3.04,29.78
Oilers,Edmonton,2006,82,32,39.0,2.34,26.74
Oilers,Edmonton,2007,82,41,50.0,2.68,26.29
Oilers,Edmonton,2008,82,38,46.3,2.78,28.09
Oilers,Edmonton,2009,82,27,32.9,2.51,28.3
Oilers,Edmonton,2010,82,25,30.5,2.33,26.7
Oilers,Edmonton,2011,82,32,39.0,2.52,26.66
Oilers,Edmonton,2012,48,19,39.6,2.56,26.77
Oilers,Edmonton,2013,82,29,35.4,2.43,26.94
Oilers,Edmonton,2014,82,24,29.3,2.35,28.43
Oilers,Edmonton,2015,82,31,37.8,2.43,29.11
Oilers,Edmonton,2016,95,54,56.8,2.94,30.84
Oilers,Edmonton,2017,82,36,43.9,2.79,33.43
Oilers,Edmonton,2018,328,140,42.7,2.79,29.17
Oilers,Edmonton,2019,297,152,51.2,3.16,29.84
Panthers,Florida,2000,69,22,31.9,2.45,25.86
Panthers,Florida,2001,72,22,30.6,2.1,26.22
Panthers,Florida,2002,69,24,34.8,2.1,26.74
Panthers,Florida,2003,67,28,41.8,2.3,27.42
Panthers,Florida,2005,82,37,45.1,2.88,33.22
Panthers,Florida,2006,82,35,42.7,2.99,33.29
Panthers,Florida,2007,82,38,46.3,2.57,31.09
Panthers,Florida,2008,82,41,50.0,2.82,29.41
Panthers,Florida,2009,82,32,39.0,2.46,28.43
Panthers,Florida,2010,82,30,36.6,2.33,30.4
Panthers,Florida,2011,89,41,46.1,2.4,29.54
Panthers,Florida,2012,48,15,31.3,2.27,29.19
Panthers,Florida,2013,82,29,35.4,2.29,29.89
Panthers,Florida,2014,82,38,46.3,2.41,30.7
Panthers,Florida,2015,88,49,55.7,2.8,29.49
Panthers,Florida,2016,82,35,42.7,2.5,32.24
Panthers,Florida,2017,82,44,53.7,2.99,34.43
Panthers,Florida,2018,328,144,43.9,3.22,32.99
Panthers,Florida,2019,289,144,49.8,3.24,32.32
